"probs","labels"
"0.2530795","0"
"0.09595442","0"
"0.07877341","0"
"0.5127144","0"
"0.023161296","0"
"0.14160393","0"
"0.34444514","0"
"0.07711385","0"
"0.050853394","0"
"0.07289099","0"
"0.20511885","0"
"0.056889266","0"
"0.23777212","0"
"0.091372885","0"
"0.12300999","0"
"0.55762225","0"
"0.38794926","0"
"0.24042563","0"
"0.05706239","0"
"0.047792632","0"
"0.09499024","0"
"0.03204176","0"
"0.11706062","0"
"0.36157238","0"
"0.5773873","0"
"0.13751271","0"
"0.07847317","0"
"0.10197518","0"
"0.073265165","0"
"0.039102998","0"
"0.048094533","0"
"0.012107781","0"
"0.1190824","0"
"0.22299793","0"
"0.040624842","0"
"0.00867116","0"
"0.77949405","0"
"0.01264055","0"
"0.08368051","0"
"0.27053198","0"
"0.07846208","0"
"0.1320589","0"
"0.32309788","0"
"0.03597353","0"
"0.005844882","0"
"0.032218065","0"
"0.010267716","0"
"0.0039181793","0"
"0.12783346","0"
"0.114283994","0"
"0.65756494","0"
"0.032437157","0"
"0.11705382","0"
"0.08574076","0"
"0.3274644","1"
"0.018756824","0"
"0.017520996","0"
"0.18082578","0"
"0.032438874","0"
"0.01897338","0"
"0.1391462","0"
"0.036602862","0"
"0.17040057","0"
"0.7327911","0"
"0.0839683","0"
"0.08075171","0"
"0.013541648","0"
"0.037522566","0"
"0.38707903","0"
"0.68818885","0"
"0.44386575","0"
"0.13191703","0"
"0.014839886","0"
"0.026044793","0"
"0.22851315","0"
"0.009420827","0"
"0.012236128","0"
"0.062038045","0"
"0.11666757","0"
"0.012696639","0"
"0.44632334","0"
"0.022763174","0"
"0.013930921","0"
"0.5560335","0"
"0.071869776","0"
"0.07244361","0"
"0.038865432","0"
"0.13711977","0"
"0.88207304","0"
"0.27776664","0"
"0.032090142","0"
"0.05376802","0"
"0.20378977","0"
"0.42557925","0"
"0.028257454","0"
"0.13429567","0"
"0.76828754","0"
"0.67218167","0"
"0.02403045","0"
"0.018265117","0"
"0.07663363","0"
"0.8181431","0"
"0.014401018","0"
"0.5676008","0"
"0.021578053","0"
"0.049327474","0"
"0.18976776","0"
"0.054185517","0"
"0.029817652","0"
"0.04749054","0"
"0.04163209","0"
"0.04158985","0"
"0.06636796","0"
"0.69458747","0"
"0.0071072346","0"
"0.20765464","0"
"0.13245755","0"
"0.02543633","0"
"0.11538597","0"
"0.3192492","0"
"0.066786","0"
"0.5794999","0"
"0.043022566","0"
"0.29306445","1"
"0.021104688","0"
"0.022955393","0"
"0.022672147","0"
"0.05675663","0"
"0.24929716","1"
"0.010436396","0"
"0.024559857","0"
"0.152268","0"
"0.01958349","0"
"0.17576806","0"
"0.016130496","0"
"0.05486426","0"
"0.031124586","0"
"0.023569286","0"
"0.03298898","0"
"0.68097353","0"
"0.09014294","0"
"0.010051287","0"
"0.11204015","0"
"0.025330022","0"
"0.13420917","0"
"0.014918516","0"
"0.017950064","0"
"0.25978956","0"
"0.033199","0"
"0.05665068","0"
"0.032548256","0"
"0.2775257","0"
"0.5508204","0"
"0.010789717","0"
"0.023755245","0"
"0.30825254","0"
"0.056910027","0"
"0.2040398","1"
"0.021333635","0"
"0.016230676","0"
"0.16256334","0"
"0.11687085","0"
"0.016697759","0"
"0.1168746","0"
"0.08567391","0"
"0.026678262","0"
"0.6891902","0"
"0.09437451","0"
"0.02820288","0"
"0.053055942","0"
"0.6309033","0"
"0.4609095","0"
"0.99964035","1"
"0.010661555","0"
"0.13551135","0"
"0.019325335","0"
"0.10849946","0"
"0.008451075","0"
"0.015540978","0"
"0.047017854","0"
"0.060561452","0"
"0.020406786","0"
"0.042008184","0"
"0.14605929","0"
"0.13420503","0"
"0.05330334","0"
"0.08938458","0"
"0.015010151","0"
"0.17026585","0"
"0.082071416","0"
"0.0706465","0"
"0.09123704","0"
"0.040995643","0"
"0.079022996","0"
"0.9861524","0"
"0.021564407","0"
"0.30348736","0"
"0.059254944","0"
"0.075307555","0"
"0.46480814","0"
"0.104913265","0"
"0.15873873","0"
"0.05990049","0"
"0.09917984","0"
"0.052108742","0"
"0.7233541","0"
"0.03555481","0"
"0.027040033","0"
"0.16322047","0"
"0.15610519","0"
"0.012912752","0"
"0.5404243","0"
"0.034065537","0"
"0.09688664","0"
"0.090520956","0"
"0.046363972","0"
"0.048032463","0"
"0.0071692783","0"
"0.04439005","0"
"0.0323414","0"
"0.027968215","0"
"0.09661099","0"
"0.23053707","0"
"0.17304796","0"
"0.50843716","0"
"0.14637907","0"
"0.008719711","0"
"0.8625091","0"
"0.1661438","0"
"0.07810656","0"
"0.0373346","0"
"0.075262375","0"
"0.102622114","0"
"0.9980142","0"
"0.07812658","0"
"0.0058695273","0"
"0.55892855","0"
"0.09567178","0"
"0.017293222","0"
"0.029987214","0"
"0.14959602","0"
"0.023325326","0"
"0.38184518","0"
"0.111227416","0"
"0.007007826","0"
"0.20009977","0"
"0.012814269","0"
"0.4086519","0"
"0.043186486","0"
"0.018355556","0"
"0.08469395","0"
"0.026931366","0"
"0.048380878","0"
"0.107147075","0"
"0.022363452","0"
"0.38688374","0"
"0.16639218","0"
"0.23817594","0"
"0.049037367","0"
"0.015656784","0"
"0.041197956","0"
"0.0063216244","0"
"0.007536491","0"
"0.6261053","0"
"0.28537557","0"
"0.02392456","0"
"0.23472317","0"
"0.13653202","0"
"0.019478157","0"
"0.015261679","0"
"0.17058145","0"
"0.050176155","0"
"0.11536056","0"
"0.12224266","0"
"0.02948008","0"
"0.7699829","0"
"0.012206862","0"
"0.14581755","0"
"0.0057336604","0"
"0.0059819347","0"
"0.021990769","0"
"0.0068972665","0"
"0.23607916","0"
"0.029179526","0"
"0.023736503","0"
"0.038256805","0"
"0.01774411","0"
"0.069055185","0"
"0.025413444","0"
"0.041922957","0"
"0.032678124","0"
"0.29672602","1"
"0.049222127","0"
"0.23145488","0"
"0.09866933","0"
"0.23488206","0"
"0.34410945","0"
"0.051898703","0"
"0.015404079","0"
"0.022768065","0"
"0.29870334","0"
"0.116653286","0"
"0.1876964","0"
"0.012775687","0"
"0.03416592","0"
"0.11210055","0"
"0.03564869","0"
"0.06709566","0"
"0.10209206","0"
"0.08794333","0"
"0.44735768","0"
"0.19834137","0"
"0.023276666","0"
"0.014575331","0"
"0.95519257","0"
"0.0103246635","0"
"0.019061726","0"
"0.009854513","0"
"0.20516385","0"
"0.08214017","0"
"0.33346835","0"
"0.18672106","0"
"0.81228673","0"
"0.016135521","0"
"0.08629518","0"
"0.03593499","0"
"0.008242643","0"
"0.16875911","0"
"0.04598226","0"
"0.060540628","0"
"0.053241488","0"
"0.28606907","0"
"0.5101739","0"
"0.02811753","0"
"0.12919897","0"
"0.31151816","0"
"0.007293419","0"
"0.29992485","0"
"0.08865873","0"
"0.80160874","0"
"0.058801476","0"
"0.028192872","0"
"0.16527204","0"
"0.01048167","0"
"0.026388735","0"
"0.08503649","0"
"0.060555633","0"
"0.2157622","0"
"0.062403455","0"
"0.04855065","0"
"0.005922832","0"
"0.082348876","0"
"0.114844374","0"
"0.016014654","0"
"0.11396064","0"
"0.40841427","0"
"0.009677082","0"
"0.037300423","0"
"0.35310218","0"
"0.110322654","0"
"0.29615346","0"
"0.027088704","0"
"0.13935122","0"
"0.012206782","0"
"0.9493873","0"
"0.44629845","0"
"0.07319478","0"
"0.017461633","0"
"0.054066084","0"
"0.079125576","0"
"0.030141039","0"
"0.3214265","0"
"0.0061155544","0"
"0.37805295","0"
"0.25753695","0"
"0.11072709","0"
"0.94233227","0"
"0.06535309","0"
"0.019744832","0"
"0.072545104","0"
"0.4019991","0"
"0.052520797","0"
"0.034411117","0"
"0.037530385","0"
"0.10771895","0"
"0.5176866","0"
"0.32472798","0"
"0.9026124","0"
"0.022406042","0"
"0.9194052","0"
"0.02842366","0"
"0.020760454","0"
"0.11455876","0"
"0.0031268708","0"
"0.02375895","0"
"0.024637667","0"
"0.119964845","0"
"0.08320093","0"
"0.7721163","0"
"0.39902207","0"
"0.06625601","0"
"0.08065873","0"
"0.12158187","0"
"0.019546028","0"
"0.025278248","0"
"0.15829971","0"
"0.013921225","0"
"0.18630701","0"
"0.03663213","0"
"0.14980596","0"
"0.014913268","0"
"0.09241831","0"
"0.019051675","0"
"0.025554817","0"
"0.021731844","0"
"0.5365251","0"
"0.089330725","0"
"0.013604375","0"
"0.31449682","0"
"0.008962655","0"
"0.8018457","0"
"0.031783443","0"
"0.18791899","0"
"0.028269975","0"
"0.0413502","0"
"0.008042882","0"
"0.06741027","0"
"0.041327417","0"
"0.16606195","0"
"0.07111002","0"
"0.10327529","0"
"0.47165713","0"
"0.10442279","0"
"0.019378144","0"
"0.029701646","0"
"0.078581244","0"
"0.45797774","0"
"0.11150229","0"
"0.004274775","0"
"0.03098215","0"
"0.16507061","0"
"0.090453245","0"
"0.048751768","0"
"0.10141333","1"
"0.8791048","0"
"0.55018216","0"
"0.045730587","0"
"0.073108956","0"
"0.08074437","1"
"0.05493594","0"
"0.0061395788","0"
"0.012969599","0"
"0.012658696","0"
"0.008940684","0"
"0.51397455","0"
"0.014783588","0"
"0.082502276","0"
"0.07177242","0"
"0.90997076","0"
"0.17817329","0"
"0.025675764","0"
"0.08937203","0"
"0.32042807","0"
"0.012701457","0"
"0.18055184","0"
"0.15884063","0"
"0.028016426","0"
"0.58175033","0"
"0.5196355","0"
"0.026623439","0"
"0.6020928","0"
"0.8129366","1"
"0.9628148","1"
"0.0145433545","0"
"0.0378581","0"
"0.008064283","0"
"0.032670308","0"
"0.013466685","0"
"0.082416646","0"
"0.024502484","0"
"0.060976114","0"
"0.0078797","0"
"0.0036677173","0"
"0.16412476","0"
"0.01004048","0"
"0.038620517","0"
"0.25444672","0"
"0.096127346","0"
"0.21346161","0"
"0.017326055","0"
"0.52406174","0"
"0.25200126","0"
"0.03814878","0"
"0.6208177","0"
"0.038078237","0"
"0.062686644","0"
"0.027738797","0"
"0.01788023","0"
"0.082914725","0"
"0.14315414","0"
"0.032988045","0"
"0.037566062","0"
"0.07982823","0"
"0.017975694","0"
"0.014251007","0"
"0.16150892","1"
"0.04092127","0"
"0.59217036","0"
"0.18899365","0"
"0.08136624","0"
"0.12210281","0"
"0.025749043","0"
"0.46072504","0"
"0.64449173","0"
"0.075560406","0"
"0.015588006","0"
"0.5529677","0"
"0.07794439","0"
"0.1329231","0"
"0.06226049","0"
"0.24795027","0"
"0.05450357","0"
"0.9344094","1"
"0.022066364","0"
"0.20482412","0"
"0.91339713","1"
"0.01665951","0"
"0.0061092046","0"
"0.13533542","0"
"0.77203244","1"
"0.10835877","0"
"0.09453971","0"
"0.15612367","0"
"0.18095174","0"
"0.16071936","0"
"0.043269053","0"
"0.29772803","0"
"0.03406333","0"
"0.39910814","0"
"0.07318251","0"
"0.7097651","0"
"0.6784662","0"
"0.45822385","0"
"0.013984349","0"
"0.07704273","0"
"0.05160357","0"
"0.31441844","1"
"0.48367134","0"
"0.039242245","0"
"0.96077794","0"
"0.0847875","0"
"0.25752324","0"
"0.21705909","0"
"0.020420732","0"
"0.07014875","0"
"0.03257896","0"
"0.30963695","1"
"0.060084656","0"
"0.16644754","0"
